host,min_rtt,avg_rtt,max_rtt,packets_sent,packets_received,packet_loss_pct,latitude,longitude,city,country,distance_km
102.214.66.19,193.509,193.76,194.414,5,5,0.0,5.60372,-0.186964,,Ghana,9327.01011019399
102.214.66.39,181.497,181.564,181.686,5,5,0.0,5.60372,-0.186964,,Ghana,9327.01011019399
103.146.200.98,226.847,227.058,227.46,5,5,0.0,-9.43529,147.18,,Papua New Guinea,13693.063506102199
105.235.237.2,237.17,237.328,237.638,5,5,0.0,3.75496,8.78213,,Equatorial Guinea,10217.12961626569
109.61.86.65,27.118,27.352,27.774,5,5,0.0,,,,,
109.61.94.65,125.492,125.585,125.77,5,5,0.0,38.7223,-9.13934,,Portugal,6438.019569100072
121.127.43.65,67.354,67.417,67.513,5,5,0.0,,,,,
128.10.2.13,0.015,0.02,0.025,5,5,0.0,40.4226,-86.9107,,United States,0.0
138.199.14.66,153.535,153.659,153.732,5,5,0.0,43.2965,5.36978,,France,7227.651424286396
138.199.4.1,202.546,203.157,203.884,5,5,0.0,,,,,
138.199.57.129,16.014,16.08,16.167,5,5,0.0,,,,,
143.244.63.144,186.675,186.878,187.397,5,5,0.0,-33.8688,151.209,,Australia,14904.975802230192
148.230.45.213,97.575,99.254,104.156,5,5,0.0,40.4167,-3.70329,,Spain,6752.695036251982
148.230.59.38,67.923,68.264,69.26,5,5,0.0,37.3387,-121.885,,United States,3026.880679791206
148.230.60.200,130.888,131.427,133.189,5,5,0.0,,,,,
154.81.51.4,220.896,221.092,221.281,5,5,0.0,-33.8688,151.209,,Australia,14904.975802230192
156.146.40.65,123.522,123.624,123.693,5,5,0.0,,,,,
156.146.52.1,137.133,137.288,137.572,5,5,0.0,41.0082,28.9784,,Turkey,8889.200799365208
156.146.53.53,53.24,53.413,53.728,5,5,0.0,,,,,
160.242.19.254,209.918,209.972,210.06,5,5,0.0,-8.81466,13.2302,,Angola,11498.034161858352
169.150.202.193,202.424,202.703,202.988,5,5,0.0,32.0853,34.7818,,Israel,9972.072269947785
169.150.242.129,124.272,124.354,124.477,5,5,0.0,45.815,15.9819,,Croatia,7752.653825321814
169.150.252.2,138.458,138.539,138.604,5,5,0.0,37.9838,23.7275,,Greece,8805.410838907768
173.243.131.29,27.107,27.288,27.52,5,5,0.0,,,,,
176.23.128.102,207.824,207.991,208.318,5,5,0.0,1.35208,103.82,,Singapore,15244.086228973141
178.215.228.109,101.607,101.748,101.876,5,5,0.0,50.1109,8.68213,,Germany,7034.190235821966
185.102.217.170,131.324,131.469,131.648,5,5,0.0,44.4268,26.1025,,Romania,8454.582009208976
185.102.218.1,148.236,148.521,149.397,5,5,0.0,52.3676,4.90414,,The Netherlands,6680.590154216435
185.102.219.93,111.447,111.513,111.641,5,5,0.0,50.1109,8.68213,,Germany,7034.190235821966
185.152.65.113,160.006,160.097,160.16,5,5,0.0,50.0755,14.4378,,Czechia,7377.938134660283
185.152.66.67,27.869,27.902,27.934,5,5,0.0,,,,,
185.152.67.2,54.321,54.541,54.854,5,5,0.0,34.0549,-118.243,,United States,2846.3433407390025
185.180.12.40,123.034,123.132,123.279,5,5,0.0,48.2081,16.3713,,Austria,7614.237280326306
185.246.208.67,120.807,120.883,120.942,5,5,0.0,52.2297,21.0122,,Poland,7599.292887438984
185.3.160.57,109.672,109.718,109.787,5,5,0.0,50.8476,4.35717,,Belgium,6728.978908402882
185.59.221.51,149.06,149.116,149.174,5,5,0.0,51.5072,-0.127586,,United Kingdom,6417.863423135775
185.59.223.8,23.401,23.516,23.679,5,5,0.0,40.7128,-74.006,,United States,1089.5315497397178
185.76.9.135,123.58,123.783,124.069,5,5,0.0,,,,,
185.93.1.65,6.003,6.077,6.138,5,5,0.0,,,,,
185.93.2.193,149.946,150.025,150.118,5,5,0.0,48.8575,2.35138,,France,6710.186002494629
185.93.3.50,114.717,114.76,114.804,5,5,0.0,40.4168,-3.70379,,Spain,6752.6528052963085
189.25.101.151,209.797,210.165,210.849,5,5,0.0,51.5072,-0.127586,,United Kingdom,6417.863423135775
189.25.97.217,200.389,200.669,201.33,5,5,0.0,25.2048,55.2708,,United Arab Emirates,11736.05679076245
189.25.98.63,176.655,176.922,177.601,5,5,0.0,25.033,121.565,,Taiwan,12163.311502469702
195.181.162.195,31.224,31.254,31.281,5,5,0.0,25.7617,-80.1918,,United States,1744.816043571874
197.227.12.18,257.148,257.211,257.241,5,5,0.0,-20.166,57.5025,,Mauritius,15965.387608179215
204.155.243.172,28.92,29.162,29.558,5,5,0.0,,,,,
207.211.214.65,103.383,103.455,103.548,5,5,0.0,50.8276,4.34389,,Belgium,6729.242896157297
209.40.123.215,44.402,45.007,45.851,5,5,0.0,32.7767,-96.797,,United States,1223.9064541078944
212.60.92.134,155.854,155.885,155.966,5,5,0.0,13.4473,-16.665,,Gambia,7378.545743602989
213.158.175.240,145.419,145.657,145.972,5,5,0.0,30.0383,31.2102,,Egypt,9918.616099604007
217.61.40.96,115.264,115.364,115.71,5,5,0.0,45.6994,9.5811,,Italy,7358.291194937304
23.249.54.234,34.032,34.367,35.113,5,5,0.0,25.7617,-80.1918,,United States,1744.816043571874
23.249.55.42,201.486,201.734,202.272,5,5,0.0,25.2048,55.2708,,United Arab Emirates,11736.05679076245
23.249.58.14,186.954,187.563,188.341,5,5,0.0,22.3193,114.169,,Hong Kong,12705.108012617464
23.249.60.154,141.325,141.483,141.701,5,5,0.0,35.6764,139.65,,Japan,10307.39516625453
37.19.203.1,131.767,131.835,131.878,5,5,0.0,42.6977,23.3219,,Bulgaria,8422.58360683195
37.19.206.20,24.849,25.141,25.708,5,5,0.0,,,,,
37.19.216.1,34.342,34.397,34.473,5,5,0.0,29.7604,-95.3698,,United States,1411.860440649638
37.19.218.65,126.885,126.938,126.966,5,5,0.0,,,,,
41.110.39.130,117.163,118.99,120.509,5,5,0.0,36.7598,3.01369,,Algeria,7463.018796626996
41.210.185.162,240.037,240.138,240.348,5,5,0.0,0.315169,32.5816,,Uganda,12430.540698395142
49.205.75.2,216.596,216.876,217.563,5,5,0.0,12.9716,77.5946,,India,13866.522429063834
66.35.20.123,65.716,66.015,66.646,5,5,0.0,37.3394,-121.895,,United States,3027.7007105526513
66.35.22.79,16.798,17.162,17.379,5,5,0.0,,,,,
66.35.27.207,34.59,34.728,34.865,5,5,0.0,32.7767,-96.797,,United States,1223.9064541078944
66.35.30.9,47.307,47.666,48.054,5,5,0.0,,,,,
66.35.31.81,141.408,141.907,142.881,5,5,0.0,35.6764,139.65,,Japan,10307.39516625453
69.48.236.198,273.106,273.746,274.199,5,5,0.0,18.5204,73.8567,,India,13165.344724675888
69.48.237.66,135.81,136.79,138.191,5,5,0.0,41.0082,28.9784,,Turkey,8889.200799365208
69.48.238.200,251.63,252.279,254.357,5,5,0.0,25.2048,55.2708,,United Arab Emirates,11736.05679076245
69.48.239.124,237.588,238.028,238.717,5,5,0.0,-26.2056,28.0337,,South Africa,13905.793541536668
72.1.86.46,180.918,181.386,182.496,5,5,0.0,-36.8509,174.764,,New Zealand,13176.081122063588
79.127.209.1,147.865,148.206,148.705,5,5,0.0,,,,,
84.17.41.11,54.012,54.112,54.264,5,5,0.0,47.6062,-122.332,,United States,2914.875856335282
84.17.57.129,191.561,191.697,191.848,5,5,0.0,22.3193,114.169,,Hong Kong,12705.108012617464
84.17.59.129,155.652,155.735,155.792,5,5,0.0,45.4642,9.18998,,Italy,7347.788523820992
87.249.137.8,103.313,103.454,103.575,5,5,0.0,53.3498,-6.2603100000000005,,Ireland,5955.0576452705445
89.187.160.1,146.3,146.351,146.428,5,5,0.0,35.6764,139.65,,Japan,10307.39516625453
89.187.162.1,205.559,205.682,205.792,5,5,0.0,1.35208,103.82,,Singapore,15244.086228973141
89.187.164.1,27.894,27.905,27.919,5,5,0.0,32.7767,-96.797,,United States,1223.9064541078944
89.187.165.1,118.053,118.213,118.437,5,5,0.0,47.3769,8.54169,,Switzerland,7188.813899515314
96.45.38.22,207.957,208.048,208.214,5,5,0.0,1.35208,103.82,,Singapore,15244.086228973141
96.45.39.38,102.883,105.863,111.225,5,5,0.0,50.1109,8.68213,,Germany,7034.190235821966
96.45.40.45,92.018,92.129,92.25,5,5,0.0,53.2394,-2.9905600000000003,,United Kingdom,6161.066077389145
96.45.41.167,103.794,103.951,104.12,5,5,0.0,43.6415,7.00919,,France,7317.205486511782
96.45.42.156,92.298,92.768,94.533,5,5,0.0,48.8566,2.35222,,France,6710.288111333898
96.45.43.6,28.758,28.841,28.996,5,5,0.0,,,,,
96.45.44.87,199.311,199.405,199.546,5,5,0.0,-33.8688,151.209,,Australia,14904.975802230192
a110.speedtest.wobcom.de,106.818,106.919,107.03,5,5,0.0,,,,,
a204.speedtest.wobcom.de,107.728,107.795,107.863,5,5,0.0,,,,,
a205.speedtest.wobcom.de,117.011,117.071,117.125,5,5,0.0,,,,,
a208.speedtest.wobcom.de,113.919,114.016,114.146,5,5,0.0,,,,,
a209.speedtest.wobcom.de,106.628,106.825,107.375,5,5,0.0,,,,,
a210.speedtest.wobcom.de,116.898,116.983,117.138,5,5,0.0,,,,,
a400.speedtest.wobcom.de,109.906,110.026,110.298,5,5,0.0,,,,,
akl.linetest.nz,179.392,179.439,179.503,5,5,0.0,,,,,
ams.speedtest.clouvider.net,95.305,95.377,95.436,5,5,0.0,,,,,
ash.speedtest.clouvider.net,24.686,24.814,24.91,5,5,0.0,,,,,
atl.speedtest.clouvider.net,13.124,13.403,13.754,5,5,0.0,,,,,
bwtest.linxtelecom.com,118.425,118.491,118.641,5,5,0.0,,,,,
chch.linetest.nz,192.444,192.488,192.558,5,5,0.0,,,,,
chi.speedtest.clouvider.net,6.113,6.24,6.477,5,5,0.0,,,,,
coverage1.mobicom.mn,199.391,199.438,199.469,5,5,0.0,,,,,
dal.speedtest.clouvider.net,20.475,20.614,20.685,5,5,0.0,,,,,
dfw.speedtest.is.cc,58.669,58.811,59.079,5,5,0.0,,,,,
fra.speedtest.clouvider.net,112.353,112.489,112.848,5,5,0.0,,,,,
gw1.malabo.guineanet.net,236.91,237.142,237.467,5,5,0.0,,,,,
iperf-ams-nl.eranium.net,95.191,95.297,95.456,5,5,0.0,,,,,
iperf.as42831.net,88.014,88.107,88.169,5,5,0.0,,,,,
iperf.fegis.nu,119.714,121.216,127.047,5,5,0.0,,,,,
iperf.online.net,99.146,99.235,99.335,5,5,0.0,,,,,
iperf.pendc.com,146.033,146.16,146.32,5,5,0.0,,,,,
iperf.worldstream.nl,100.151,101.325,105.269,5,5,0.0,,,,,
iperf1.surfwireless.nl,99.261,99.358,99.417,5,5,0.0,,,,,
iperf3-vie-at.alwyzon.net,117.341,117.471,117.695,5,5,0.0,,,,,
iperf3.moji.fr,91.865,91.921,91.998,5,5,0.0,,,,,
it1.speedtest.aruba.it,126.086,126.443,127.626,5,5,0.0,,,,,
la.speedtest.clouvider.net,50.773,50.861,51.113,5,5,0.0,,,,,
lg.ams-nl.gigahost.no,112.794,112.873,112.951,5,5,0.0,,,,,
lg.gigahost.no,110.547,110.714,110.801,5,5,0.0,,,,,
lon.speedtest.clouvider.net,88.706,88.81,88.998,5,5,0.0,,,,,
man.speedtest.clouvider.net,91.179,91.23,91.302,5,5,0.0,,,,,
nl.speed.vps1.net,96.528,96.624,96.747,5,5,0.0,,,,,
phx.speedtest.clouvider.net,44.432,44.551,44.606,5,5,0.0,,,,,
ping-90ms.online.net,190.524,190.623,190.737,5,5,0.0,,,,,
ping-ams1.online.net,96.153,96.219,96.344,5,5,0.0,,,,,
ping.online.net,99.14,99.244,99.47,5,5,0.0,,,,,
sgp.proof.ovh.net,205.095,205.472,206.646,5,5,0.0,,,,,
spd-icsrv.hostkey.com,125.483,125.554,125.649,5,5,0.0,,,,,
speed-cb.dimensione.com,125.954,126.158,126.419,5,5,0.0,,,,,
speed.cosmonova.net,126.07,126.252,126.851,5,5,0.0,,,,,
speed.mymanga.pro,215.48,218.302,221.202,5,5,0.0,,,,,
speed.netfiber.net.il,208.864,208.935,209.092,5,5,0.0,,,,,
speed.rimon.net.il,207.95,208.087,208.289,5,5,0.0,,,,,
speed1.fiberby.dk,102.824,102.989,103.169,5,5,0.0,,,,,
speed2.fiberby.dk,102.901,103.11,103.573,5,5,0.0,,,,,
speedsrv.multinet24.pl,116.699,116.749,116.772,5,5,0.0,,,,,
speedtest.ams1.nl.leaseweb.net,100.548,100.696,100.911,5,5,0.0,,,,,
