destination,hop,address,rtt_ms,responsive,destination_reached,destination_hop_count,destination_rtt_ms
phx.speedtest.clouvider.net,1,*,,False,True,20,44.599
phx.speedtest.clouvider.net,2,172.28.162.67,1.47,True,True,20,44.599
phx.speedtest.clouvider.net,3,172.28.162.67,1.0673333333333335,True,True,20,44.599
phx.speedtest.clouvider.net,4,192.168.18.8,0.9496666666666667,True,True,20,44.599
phx.speedtest.clouvider.net,5,172.28.249.158,0.5293333333333333,True,True,20,44.599
phx.speedtest.clouvider.net,6,172.28.249.203,0.5336666666666667,True,True,20,44.599
phx.speedtest.clouvider.net,7,172.28.252.97,0.79,True,True,20,44.599
phx.speedtest.clouvider.net,8,62.115.162.76,3.219,True,True,20,44.599
phx.speedtest.clouvider.net,9,62.115.141.44,5.267333333333333,True,True,20,44.599
phx.speedtest.clouvider.net,10,62.115.123.144,6.856,True,True,20,44.599
phx.speedtest.clouvider.net,11,62.115.123.144,7.392,True,True,20,44.599
phx.speedtest.clouvider.net,12,62.115.140.109,50.363,True,True,20,44.599
phx.speedtest.clouvider.net,13,62.115.137.28,12.4345,True,True,20,44.599
phx.speedtest.clouvider.net,14,62.115.139.189,25.2,True,True,20,44.599
phx.speedtest.clouvider.net,15,62.115.125.55,49.83733333333333,True,True,20,44.599
phx.speedtest.clouvider.net,16,62.115.125.55,49.986666666666665,True,True,20,44.599
phx.speedtest.clouvider.net,17,62.115.141.162,52.35933333333333,True,True,20,44.599
phx.speedtest.clouvider.net,18,45.86.208.3,49.205333333333336,True,True,20,44.599
phx.speedtest.clouvider.net,19,45.86.208.3,45.25,True,True,20,44.599
phx.speedtest.clouvider.net,20,45.86.208.131,44.599,True,True,20,44.599
akl.linetest.nz,1,128.10.2.250,0.24533333333333332,True,True,24,179.70499999999998
akl.linetest.nz,2,172.28.162.67,1.7806666666666666,True,True,24,179.70499999999998
akl.linetest.nz,3,172.28.162.67,1.196,True,True,24,179.70499999999998
akl.linetest.nz,4,192.168.18.4,0.801,True,True,24,179.70499999999998
akl.linetest.nz,5,172.28.249.206,0.522,True,True,24,179.70499999999998
akl.linetest.nz,6,172.28.249.203,0.6066666666666667,True,True,24,179.70499999999998
akl.linetest.nz,7,172.28.252.97,0.8775,True,True,24,179.70499999999998
akl.linetest.nz,8,149.165.255.93,6.202,True,True,24,179.70499999999998
akl.linetest.nz,9,149.165.255.93,6.197,True,True,24,179.70499999999998
akl.linetest.nz,10,149.165.183.86,8.647,True,True,24,179.70499999999998
akl.linetest.nz,11,140.189.9.133,6.159,True,True,24,179.70499999999998
akl.linetest.nz,12,140.189.9.133,6.171,True,True,24,179.70499999999998
akl.linetest.nz,13,184.105.213.150,10.174666666666667,True,True,24,179.70499999999998
akl.linetest.nz,14,184.105.213.89,9.712,True,True,24,179.70499999999998
akl.linetest.nz,15,184.105.213.151,16.942666666666668,True,True,24,179.70499999999998
akl.linetest.nz,16,184.104.192.137,179.577,True,True,24,179.70499999999998
akl.linetest.nz,17,184.104.192.137,178.76233333333332,True,True,24,179.70499999999998
akl.linetest.nz,18,184.104.195.46,178.73266666666666,True,True,24,179.70499999999998
akl.linetest.nz,19,184.104.196.117,178.32933333333332,True,True,24,179.70499999999998
akl.linetest.nz,20,216.218.224.39,177.20966666666666,True,True,24,179.70499999999998
akl.linetest.nz,21,216.218.224.39,177.051,True,True,24,179.70499999999998
akl.linetest.nz,22,216.218.224.39,176.6845,True,True,24,179.70499999999998
akl.linetest.nz,23,*,,False,True,24,179.70499999999998
akl.linetest.nz,24,101.98.9.197,179.70499999999998,True,True,24,179.70499999999998
69.48.237.66,1,128.10.2.250,0.29033333333333333,True,True,20,137.011
69.48.237.66,2,172.28.162.67,1.4403333333333332,True,True,20,137.011
69.48.237.66,3,172.28.162.67,1.0143333333333333,True,True,20,137.011
69.48.237.66,4,192.168.18.2,0.8953333333333333,True,True,20,137.011
69.48.237.66,5,172.28.249.160,0.484,True,True,20,137.011
69.48.237.66,6,172.28.252.97,0.687,True,True,20,137.011
69.48.237.66,7,172.28.252.97,0.819,True,True,20,137.011
69.48.237.66,8,149.165.255.8,62.24,True,True,20,137.011
69.48.237.66,9,149.165.255.8,43.162,True,True,20,137.011
69.48.237.66,10,184.105.35.193,5.179,True,True,20,137.011
69.48.237.66,11,184.104.196.49,137.454,True,True,20,137.011
69.48.237.66,12,*,,False,True,20,137.011
69.48.237.66,13,184.105.65.6,136.09,True,True,20,137.011
69.48.237.66,14,184.105.65.6,136.84199999999998,True,True,20,137.011
69.48.237.66,15,184.104.196.46,134.31900000000002,True,True,20,137.011
69.48.237.66,16,185.1.48.65,135.51333333333335,True,True,20,137.011
69.48.237.66,17,185.1.48.65,136.87833333333333,True,True,20,137.011
69.48.237.66,18,69.167.111.20,136.31833333333333,True,True,20,137.011
69.48.237.66,19,69.167.111.20,136.47266666666667,True,True,20,137.011
69.48.237.66,20,69.48.237.66,137.011,True,True,20,137.011
69.48.237.66,21,*,,False,True,20,137.011
69.48.237.66,22,*,,False,True,20,137.011
69.48.237.66,23,*,,False,True,20,137.011
69.48.237.66,24,*,,False,True,20,137.011
69.48.237.66,25,*,,False,True,20,137.011
69.48.237.66,26,*,,False,True,20,137.011
69.48.237.66,27,*,,False,True,20,137.011
69.48.237.66,28,*,,False,True,20,137.011
69.48.237.66,29,*,,False,True,20,137.011
69.48.237.66,30,*,,False,True,20,137.011
148.230.60.200,1,128.10.2.250,0.34833333333333333,True,True,22,131.511
148.230.60.200,2,172.28.162.67,2.168,True,True,22,131.511
148.230.60.200,3,172.28.162.66,1.639,True,True,22,131.511
148.230.60.200,4,192.168.18.8,1.3559999999999999,True,True,22,131.511
148.230.60.200,5,172.28.249.160,0.4703333333333333,True,True,22,131.511
148.230.60.200,6,172.28.252.97,0.6613333333333333,True,True,22,131.511
148.230.60.200,7,*,,False,True,22,131.511
148.230.60.200,8,64.57.21.173,5.769,True,True,22,131.511
148.230.60.200,9,163.253.2.64,15.252666666666666,True,True,22,131.511
148.230.60.200,10,163.253.2.165,20.962666666666667,True,True,22,131.511
148.230.60.200,11,163.253.1.122,19.344,True,True,22,131.511
148.230.60.200,12,163.253.1.122,18.197333333333333,True,True,22,131.511
148.230.60.200,13,163.253.1.129,17.513666666666666,True,True,22,131.511
148.230.60.200,14,162.252.69.103,17.281,True,True,22,131.511
148.230.60.200,15,*,,False,True,22,131.511
148.230.60.200,16,*,,False,True,22,131.511
148.230.60.200,17,64.125.21.137,130.627,True,True,22,131.511
148.230.60.200,18,64.125.21.137,130.57333333333332,True,True,22,131.511
148.230.60.200,19,64.125.20.190,131.14033333333333,True,True,22,131.511
148.230.60.200,20,209.40.116.20,131.92266666666666,True,True,22,131.511
148.230.60.200,21,148.230.60.200,131.79133333333334,True,True,22,131.511
148.230.60.200,22,148.230.60.200,131.511,True,True,22,131.511
148.230.60.200,23,*,,False,True,22,131.511
148.230.60.200,24,*,,False,True,22,131.511
148.230.60.200,25,*,,False,True,22,131.511
148.230.60.200,26,*,,False,True,22,131.511
148.230.60.200,27,*,,False,True,22,131.511
148.230.60.200,28,*,,False,True,22,131.511
148.230.60.200,29,*,,False,True,22,131.511
148.230.60.200,30,*,,False,True,22,131.511
speedtest1.cwpanama.net,1,*,,False,True,20,68.3985
